"","Date","Open","High","Low","Close","Adj.Close","Volume","Price","Price_1","Price_2","Price_3","Price_4","Price_5","SMA_5","SMA_10","SMA_50","tr","tr2","tr3","tr4","tr5"
"1238",2018-03-28,6978.299805,7036.089844,6901.069824,6949.22998,6949.22998,2518670000,6949.22998,7063.450195,6870.120117,6941.279785,7042.109863,7076.549805,6973.237988,6997.15190420001,0,7008.810059,7220.540039,6992.669922,7166.680176,7345.290039
"1237",2018-03-27,7255.470215,7255.540039,6963.680176,7008.810059,7008.810059,2325990000,7008.810059,6949.22998,7063.450195,6870.120117,6941.279785,7042.109863,6966.5780272,6991.1299316,0,7220.540039,6992.669922,7166.680176,7345.290039,7364.299805
"1236",2018-03-26,7125.200195,7225.830078,7022.339844,7220.540039,7220.540039,2326060000,7220.540039,7008.810059,6949.22998,7063.450195,6870.120117,6941.279785,7022.430078,7003.753955,0,6992.669922,7166.680176,7345.290039,7364.299805,7344.240234
"1235",2018-03-23,7170.680176,7194.310059,6992.669922,6992.669922,6992.669922,2390410000,6992.669922,7220.540039,7008.810059,6949.22998,7063.450195,6870.120117,7046.940039,7007.9869628,0,7166.680176,7345.290039,7364.299805,7344.240234,7481.990234
"1234",2018-03-22,7257.549805,7303.189941,7164.379883,7166.680176,7166.680176,2347160000,7166.680176,6992.669922,7220.540039,7008.810059,6949.22998,7063.450195,7067.5860352,7033.1439941,0,7345.290039,7364.299805,7344.240234,7481.990234,7481.740234
"1233",2018-03-21,7347.5,7415.660156,7325.350098,7345.290039,7345.290039,1988390000,7345.290039,7166.680176,6992.669922,7220.540039,7008.810059,6949.22998,7146.798047,7060.0180175,0,7364.299805,7344.240234,7481.990234,7481.740234,7496.810059
"1232",2018-03-20,7353.25,7380.740234,7331.240234,7364.299805,7364.299805,1967690000,7364.299805,7345.290039,7166.680176,6992.669922,7220.540039,7008.810059,7217.8959962,7092.2370117,0,7344.240234,7481.990234,7481.740234,7496.810059,7511.009766
"1231",2018-03-19,7419.200195,7421.22998,7285.27002,7344.240234,7344.240234,2324430000,7344.240234,7364.299805,7345.290039,7166.680176,6992.669922,7220.540039,7242.6360352,7132.5330566,0,7481.990234,7481.740234,7496.810059,7511.009766,7588.319824
"1230",2018-03-16,7504.370117,7514.209961,7473.680176,7481.990234,7481.990234,3046990000,7481.990234,7344.240234,7364.299805,7345.290039,7166.680176,6992.669922,7340.5000976,7193.7200683,0,7481.740234,7496.810059,7511.009766,7588.319824,7560.810059
"1229",2018-03-15,7509.240234,7525.439941,7463.189941,7481.740234,7481.740234,1991570000,7481.740234,7481.990234,7344.240234,7364.299805,7345.290039,7166.680176,7403.5121092,7235.5490722,0,7496.810059,7511.009766,7588.319824,7560.810059,7427.950195
"1228",2018-03-14,7539.779785,7544.890137,7473.899902,7496.810059,7496.810059,2104450000,7496.810059,7481.740234,7481.990234,7344.240234,7364.299805,7345.290039,7433.8161132,7290.3070801,0,7511.009766,7588.319824,7560.810059,7427.950195,7396.649902
"1227",2018-03-13,7627.52002,7637.27002,7492.97998,7511.009766,7511.009766,2448830000,7511.009766,7496.810059,7481.740234,7481.990234,7344.240234,7364.299805,7463.1581054,7340.5270508,0,7588.319824,7560.810059,7427.950195,7396.649902,7372.009766
"1226",2018-03-12,7581.040039,7609.100098,7563.439941,7588.319824,7588.319824,2294440000,7588.319824,7511.009766,7496.810059,7481.740234,7481.990234,7344.240234,7511.9740234,7377.3050293,0,7560.810059,7427.950195,7396.649902,7372.009766,7330.709961
"1225",2018-03-09,7475.97998,7560.810059,7469.029785,7560.810059,7560.810059,2302930000,7560.810059,7588.319824,7511.009766,7496.810059,7481.740234,7481.990234,7527.7379884,7434.119043,0,7427.950195,7396.649902,7372.009766,7330.709961,7257.870117
"1224",2018-03-08,7422.77002,7435.009766,7391.5,7427.950195,7427.950195,2272110000,7427.950195,7560.810059,7588.319824,7511.009766,7496.810059,7481.740234,7516.9799806,7460.2460449,0,7396.649902,7372.009766,7330.709961,7257.870117,7180.560059
"1223",2018-03-07,7311.740234,7403.790039,7311.740234,7396.649902,7396.649902,2192230000,7396.649902,7427.950195,7560.810059,7588.319824,7511.009766,7496.810059,7496.9479492,7465.3820312,0,7372.009766,7330.709961,7257.870117,7180.560059,7273.009766
"1222",2018-03-06,7366.609863,7378.029785,7319.680176,7372.009766,7372.009766,2112570000,7372.009766,7396.649902,7427.950195,7560.810059,7588.319824,7511.009766,7469.1479492,7466.1530273,0,7330.709961,7257.870117,7180.560059,7273.009766,7330.350098
"1221",2018-03-05,7222.890137,7350.069824,7205.310059,7330.709961,7330.709961,49345880000,7330.709961,7372.009766,7396.649902,7427.950195,7560.810059,7588.319824,7417.6259766,7464.8,0,7257.870117,7180.560059,7273.009766,7330.350098,7421.459961
"1220",2018-03-02,7099.540039,7267.189941,7084.830078,7257.870117,7257.870117,2287320000,7257.870117,7330.709961,7372.009766,7396.649902,7427.950195,7560.810059,7357.0379882,7442.3879883,0,7180.560059,7273.009766,7330.350098,7421.459961,7337.390137
"1219",2018-03-01,7274.75,7307.850098,7117.660156,7180.560059,7180.560059,2489040000,7180.560059,7257.870117,7330.709961,7372.009766,7396.649902,7427.950195,7307.559961,7412.2699708,0,7273.009766,7330.350098,7421.459961,7337.390137,7210.089844
"1218",2018-02-28,7371.410156,7386.799805,7273.009766,7273.009766,7273.009766,2373880000,7273.009766,7180.560059,7257.870117,7330.709961,7372.009766,7396.649902,7282.8319338,7389.8899415,0,7330.350098,7421.459961,7337.390137,7210.089844,7218.22998
"1217",2018-02-27,7416.169922,7438.089844,7330.350098,7330.350098,7330.350098,2155850000,7330.350098,7273.009766,7180.560059,7257.870117,7330.709961,7372.009766,7274.5000002,7371.8239747,0,7421.459961,7337.390137,7210.089844,7218.22998,7234.310059
"1216",2018-02-26,7373.299805,7421.850098,7360.25,7421.459961,7421.459961,1866610000,7421.459961,7330.350098,7273.009766,7180.560059,7257.870117,7330.709961,7292.6500002,7355.1379884,0,7337.390137,7210.089844,7218.22998,7234.310059,7239.470215
"1215",2018-02-23,7261.350098,7337.830078,7232.5,7337.390137,7337.390137,1879460000,7337.390137,7421.459961,7330.350098,7273.009766,7180.560059,7257.870117,7308.5540042,7332.7959962,0,7210.089844,7218.22998,7234.310059,7239.470215,7256.430176
"1214",2018-02-22,7252.459961,7280.930176,7194.839844,7210.089844,7210.089844,1911900000,7210.089844,7337.390137,7421.459961,7330.350098,7273.009766,7180.560059,7314.4599612,7311.0099611,0,7218.22998,7234.310059,7239.470215,7256.430176,7143.620117
"1213",2018-02-21,7258.47998,7338.640137,7218.109863,7218.22998,7218.22998,1946010000,7218.22998,7210.089844,7337.390137,7421.459961,7330.350098,7273.009766,7303.504004,7293.1679689,0,7234.310059,7239.470215,7256.430176,7143.620117,7013.509766
